件数目,バッチ当たりの登録合計時間,インデックスの削除時間,インデックスの作成時間,トランザクション開始時間,インザート時間,インザートコミット時間,インデックス作成コミット時間,合計経過時間
100000,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分00秒
200000,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分02秒
300000,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分03秒
400000,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分04秒
500000,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分06秒
600000,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分08秒
700000,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分09秒
800000,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分11秒
900000,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分13秒
1000000,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分01秒,00時間00分00秒,00時間00分00秒,00時間00分15秒
1100000,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間00分18秒
1200000,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間00分20秒
1300000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分02秒,00時間00分08秒,00時間00分00秒,00時間00分32秒
1400000,00時間00分34秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分17秒,00時間00分17秒,00時間00分00秒,00時間01分07秒
1500000,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間01分09秒
1600000,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間01分12秒
1700000,00時間00分03秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間01分15秒
1800000,00時間00分03秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間01分18秒
1900000,00時間00分03秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間01分22秒
2000000,00時間00分03秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間01分25秒
2100000,00時間00分03秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分02秒,00時間00分00秒,00時間00分00秒,00時間01分29秒
