件数目,バッチ当たりの登録合計時間,インデックスの削除時間,インデックスの作成時間,トランザクション開始時間,インザート時間,インザートコミット時間,インデックス作成コミット時間,合計経過時間
10000000,00時間02分23秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間02分10秒,00時間00分02秒,00時間00分00秒,00時間02分23秒
20000000,00時間04分04秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間03分47秒,00時間00分06秒,00時間00分00秒,00時間06分27秒
30000000,00時間07分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間07分09秒,00時間00分30秒,00時間00分00秒,00時間14分18秒
40000000,00時間13分15秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間12分59秒,00時間00分05秒,00時間00分00秒,00時間27分33秒
50000000,00時間17分28秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間17分12秒,00時間00分05秒,00時間00分00秒,00時間45分01秒
60000000,00時間23分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間22分55秒,00時間00分01秒,00時間00分00秒,01時間08分09秒
70000000,00時間32分24秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間32分11秒,00時間00分00秒,00時間00分00秒,01時間40分34秒
80000000,00時間47分59秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間47分38秒,00時間00分00秒,00時間00分00秒,02時間28分33秒
90000000,00時間59分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間58分39秒,00時間00分00秒,00時間00分00秒,03時間27分41秒
100000000,01時間09分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,01時間09分03秒,00時間00分22秒,00時間00分00秒,04時間37分33秒
