世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,17592186044416,0.007516145706176758,316,316,0
1,17695533694976,134217728,536870912,0.009671211242675781,427,427,0
2,17695265259520,939524096,2097152,0.019861221313476562,846,846,0
3,17695535792128,671088640,35184372088832,0.014267921447753906,613,613,0
4,17626816315392,35253762654208,524288,0.033373355865478516,1445,1445,0
5,17626951057408,35253628436480,67108864,0.05451536178588867,2370,2370,0
6,17626548404224,35254098198528,137438953472,0.059699058532714844,2592,2592,0
7,17833512140800,35184573415424,8796093022208,0.11842036247253418,5173,5173,0
8,206966358016,61607212220416,2251799813685248,0.26440000534057617,9993,9993,0
9,2278429553065984,35184439197696,262144,0.11079025268554688,4718,4718,0
10,2278360699371520,35253293154304,33554432,0.11650872230529785,5120,5120,0
11,2278360934252544,35253091827712,4294967296,0.19400572776794434,8631,8631,0
12,2278360900698112,35257420349440,9007199254740992,0.13073992729187012,5672,5672,0
13,11320744527527936,73048260608,17179869184,0.1363520622253418,5981,5981,0
14,11320710100680704,124654977024,8589934592,0.22773957252502441,10033,10033,0
15,11320839016808448,4328783872,4398046511104,0.16524767875671387,7356,7356,0
16,11320821769830400,4419622273024,65536,0.15852999687194824,7026,7026,0
17,11320838983319552,4402408849408,4611686018427387904,0.33389711380004883,14799,14799,0
18,2296013182795776,4620715246636761088,2305843009213693952,0.4162917137145996,17344,17344,0
19,2317146221651230720,4611708047382020096,1152921504606846976,0.6068429946899414,24941,24941,0
20,9051412623851520,8072724361016246272,288230376151711744,0.3738899230957031,15657,15657,0
21,299551180775292928,8070454969016516608,8192,0.3648068904876709,15392,15392,0
22,290508659170541568,8079497490621276160,4194304,0.4291675090789795,17962,17962,0
23,290508659711606784,8079497490084405248,2147483648,0.5530099868774414,23471,23471,0
24,290508659707412480,8079497492236083200,32768,0.515169620513916,22068,22068,0
25,290508659711639552,8079497492231888896,1073741824,0.4396178722381592,19409,19409,0
26,290508658772115456,8079497494245154816,131072,0.5710828304290771,25345,25345,0
27,290508693199355904,8079497459818045440,1024,0.4402191638946533,19225,19225,0
28,290508675951591424,8079497477065810944,16,0.5223298072814941,21913,21913,0
29,290508675951599632,8079497477065802752,1099511627776,0.34992384910583496,15318,15318,0
30,290508667361665040,8079498585167365120,2048,0.48111987113952637,20314,20314,0
31,290508667496671248,8079498585032360960,1048576,0.4798414707183838,20897,20897,0
32,290508667362453520,8079498585167627264,8,0.7955987453460693,33786,33786,0
33,290508667362454552,8079498585167626240,64,0.45444655418395996,19784,19784,0
34,290508667362446360,8079498585167634496,1125899906842624,0.3789691925048828,16575,16575,0
35,291638982562778136,8079494169874145344,2199023255552,0.34729695320129395,15357,15357,0
36,291608179057331224,8079527172402847808,274877906944,0.277604341506958,12335,12335,0
37,291608592985852952,8079527033352233024,2,0.2536494731903076,11207,11207,0
38,291608592985327640,8079527033352758338,4096,0.28490471839904785,11827,11827,0
39,291608592987953176,8079527033350136898,549755813888,0.2376389503479004,10523,10523,0
40,291608077591877656,8079528098502026306,4503599627370496,0.2397918701171875,10625,10625,0
41,296138151666096152,8079501624055178306,16384,0.18916964530944824,8152,8152,0
42,296138150317627416,8079501625403663426,16777216,0.1656348705291748,7228,7228,0
43,296142556970850328,8079497218767217730,256,0.1042470932006836,4620,4620,0
44,296142556886767640,8079497218851300674,128,0.1055755615234375,4601,4601,0
45,296142591517055128,8079497184221013314,32,0.07055830955505371,2920,2920,0
46,296142591516526744,8079497184221541730,4,0.06358504295349121,2796,2796,0
47,296142591516527772,8079497184221540706,144115188075855872,0.03783226013183594,1668,1668,0
48,295007826260315292,8224747137553609058,72057594037927936,0.03491950035095215,1519,1519,0
49,511180608374099100,8080631949477753186,8388608,0.013825654983520508,604,604,0
50,511180608374082716,8080631949486158178,1,0.0185244083404541,797,797,0
51,511180608374082719,8080631949486158176,562949953421312,0.007249355316162109,315,315,0
52,511176175697300639,8081199332116361568,512,0.006176948547363281,261,261,0
53,511176175697432223,8081199332116230496,576460752303423488,0.0014064311981201172,60,60,0
54,504420776256376479,8664415483860709728,9223372036854775808,0.0033235549926757812,139,139,0
55,18374704097662504607,17504199309357408,281474976710656,0.0013949871063232422,58,58,0
56,18374988875485908895,17500896462663776,18014398509481984,0.00011038780212402344,7,4,3
57,18410489975777234847,14194680819808,70368744177664,8.368492126464844e-05,4,3,1
58,18410437199219101599,137339983130720,36028797018963968,9.107589721679688e-05,3,2,1
59,18446536502690156447,66833531039840,140737488355328,3.24249267578125e-05,1,1,0
60,18446466133945978783,277939763572832,,,,,
