世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,17592186044416,0.009609222412109375,316,316,0
1,17695533694976,134217728,35184372088832,0.012388229370117188,427,427,0
2,17626814218240,35253225783296,70368744177664,0.019680261611938477,683,683,0
3,123179930484736,68853694464,8796093022208,0.03471779823303223,1175,1175,0
4,123145570746368,8899306455040,4398046511104,0.028099775314331055,933,933,0
5,136374070018048,68853694464,2251799813685248,0.06943035125732422,2293,2286,7
6,127543617257472,2260699120140288,1152921504606846976,0.061353445053100586,2214,2214,0
7,1155300848037789696,8899306455040,576460752303423488,0.1002802848815918,3374,3374,0
8,1153049048224104448,578721451423563776,288230376151711744,0.04355454444885254,1504,1504,0
9,2019991976492924928,8899306455040,140737488355328,0.09597539901733398,2925,2925,0
10,2019868831190614016,272782097121280,4503599627370496,0.05162692070007324,1663,1663,0
11,2024390091723505664,255121191600128,2305843009213693952,0.11409378051757812,3982,3982,0
12,2019886492096135168,2310601730032664576,4611686018427387904,0.16375255584716797,5834,5834,0
13,8937415519737217024,4758720818970624,1125899906842624,0.13385438919067383,4832,4832,0
14,8935163719923531776,8136420539498496,144115188075855872,0.15375638008117676,5473,5473,0
15,9080413603999252480,7001724539633664,137438953472,0.17418146133422852,6234,6234,0
16,9080395943093731328,7019522884108288,36028797018963968,0.1480863094329834,5243,5243,0
17,9116495246295826432,6949016700977152,9223372036854775808,0.25234174728393555,7882,7882,0
18,9080466449276862464,9266349850574716928,9007199254740992,0.15664243698120117,5700,5700,0
19,9096264232344748032,9259559266761572352,72057594037927936,0.14563488960266113,4857,4857,0
20,17007383565828096,18410873709578420224,17179869184,0.1028585433959961,3775,3775,0
21,17007503824912384,18410873606499205120,549755813888,0.02867889404296875,1077,1005,72
22,7929935825993728,18419951724253937664,1048576,0.07831144332885742,2822,2822,0
23,7929935961260032,18419951724119719936,562949953421312,0.001056671142578125,54,37,17
24,48636613361664,18428395973421039616,2199023255552,0.0005779266357421875,44,17,27
25,35442473828352,18428411366583828480,281474976710656,0.020766735076904297,752,752,0
26,319116473794560,18428409167560572928,1099511627776,0.00040078163146972656,31,13,18
27,35442473828352,18428693941072166912,274877906944,0.0005905628204345703,27,12,15
28,258101739520,18428729400322162688,18014398509481984,0.01087641716003418,390,390,0
29,18049840983310336,18428694215950073856,536870912,0.008866071701049805,287,263,24
30,18014450452791296,18428729607017463808,1073741824,0.010607242584228516,378,378,0
31,18085095685488640,18428658962858508288,8589934592,0.0005238056182861328,37,16,21
32,18085044145881088,18428659022988050432,4294967296,0.012384414672851562,447,447,0
33,18085314728820736,18428658756700078080,2147483648,0.0015799999237060547,75,55,20
34,18085039850913792,18428659033725468672,33554432,0.007326841354370117,252,234,18
35,18085014081110016,18428659059528826880,262144,0.012872934341430664,451,451,0
36,18085014114926592,18428659059495272448,16777216,0.006486415863037109,243,213,30
37,18085009819959296,18428659063807016960,8388608,0.0037174224853515625,144,117,27
38,18084871307264000,18428659202328100864,4194304,0.009094715118408203,316,316,0
39,18085147263107072,18428658926376452096,67108864,0.0012204647064208984,46,36,10
40,18085110856548352,18428658962850119680,524288,0.006494998931884766,230,230,0
41,18085248564461568,18428658825142730752,32768,0.005482673645019531,191,178,13
42,18085248560267264,18428658825146957824,2097152,0.010737180709838867,379,379,0
43,18085249099235328,18428658824610086912,1024,0.030318021774291992,1010,1009,1
44,18014742646882304,18428729331062440960,131072,0.018583297729492188,655,655,0
45,18014742647799808,18428729331061654528,65536,0.04140329360961914,1366,1366,0
46,18014742643736576,18428729331065783296,8192,0.019711971282958984,640,640,0
47,18014742645841920,18428729331063686144,16384,0.024201631546020508,595,595,0
48,18014742643744768,18428729331065799680,4096,0.020936250686645508,593,591,2
49,18014742913232896,18428729330796315648,16,0.022418737411499023,550,550,0
50,18014673924259840,18428729399785288720,64,0.00533604621887207,134,129,5
51,18014675002212416,18428729398707336208,128,0.008115053176879883,108,108,0
52,18014675002196032,18428729398707352720,8,0.006565570831298828,164,152,12
53,18014675004297288,18428729398705251472,2048,0.0005404949188232422,20,14,6
54,18014675004293192,18428729398705257616,32,0.0010819435119628906,36,30,6
55,18014675004301432,18428729398705249408,4,0.00016570091247558594,6,4,2
56,18014675004301312,18428729398705249532,512,0.000171661376953125,6,4,2
57,18049928230354432,18428694145479196924,256,0.0001304149627685547,5,3,2
58,18049928230338560,18428694145479213052,1,0.00010395050048828125,2,2,0
59,18049928230339073,18428694145479212540,2,5.3882598876953125e-05,1,1,0
60,18049928230338561,18428694145479213054,,,,,
