世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,17592186044416,0.00783991813659668,316,316,0
1,17695533694976,134217728,35184372088832,0.06130647659301758,2477,2477,0
2,17626814218240,35253225783296,70368744177664,0.015906810760498047,683,683,0
3,123179930484736,68853694464,8796093022208,0.19952106475830078,7826,7826,0
4,123145570746368,8899306455040,4398046511104,0.021361112594604492,933,933,0
5,136374070018048,68853694464,2251799813685248,0.42545223236083984,18595,18588,7
6,127543617257472,2260699120140288,1152921504606846976,0.04999995231628418,2214,2214,0
7,1155300848037789696,8899306455040,576460752303423488,0.7096614837646484,30265,30265,0
8,1153049048224104448,578721451423563776,288230376151711744,0.03464078903198242,1504,1504,0
9,2019991976492924928,8899306455040,140737488355328,0.5507805347442627,23501,23501,0
10,2019868831190614016,272782097121280,4503599627370496,0.039572954177856445,1663,1663,0
11,2024390091723505664,255121191600128,2305843009213693952,0.7231953144073486,30167,30167,0
12,2019886492096135168,2310601730032664576,4611686018427387904,0.13446664810180664,5834,5834,0
13,8937415519737217024,4758720818970624,1125899906842624,0.8238255977630615,34677,34677,0
14,8935163719923531776,8136420539498496,144115188075855872,0.12615108489990234,5473,5473,0
15,9080413603999252480,7001724539633664,137438953472,1.1259565353393555,47353,47353,0
16,9080395943093731328,7019522884108288,36028797018963968,0.11992073059082031,5243,5243,0
17,9116495246295826432,6949016700977152,9223372036854775808,1.6501481533050537,69766,69766,0
18,9080466449276862464,9266349850574716928,9007199254740992,0.13286828994750977,5700,5700,0
19,9096264232344748032,9259559266761572352,72057594037927936,0.9327373504638672,39305,39305,0
20,17007383565828096,18410873709578420224,17179869184,0.09022140502929688,3775,3775,0
21,17007503824912384,18410873606499205120,549755813888,0.20798230171203613,9130,9016,114
22,7929935825993728,18419951724253937664,1048576,0.0649876594543457,2822,2822,0
23,7929935961260032,18419951724119719936,562949953421312,0.000446319580078125,54,18,36
24,48636613361664,18428395973421039616,2199023255552,0.00046324729919433594,54,18,36
25,35442473828352,18428411366583828480,281474976710656,0.017351150512695312,752,752,0
26,319116473794560,18428409167560572928,1099511627776,0.00035691261291503906,38,13,25
27,35442473828352,18428693941072166912,274877906944,0.0019261837005615234,96,81,15
28,258101739520,18428729400322162688,18014398509481984,0.008989095687866211,390,390,0
29,18049840983310336,18428694215950073856,536870912,0.03321433067321777,1468,1418,50
30,18014450452791296,18428729607017463808,1073741824,0.008753061294555664,378,378,0
31,18085095685488640,18428658962858508288,8589934592,0.0002837181091308594,42,11,31
32,18085044145881088,18428659022988050432,4294967296,0.010351181030273438,447,447,0
33,18085314728820736,18428658756700078080,2147483648,0.005797147750854492,264,235,29
34,18085039850913792,18428659033725468672,33554432,0.03626418113708496,1513,1485,28
35,18085014081110016,18428659059528826880,262144,0.010723114013671875,451,451,0
36,18085014114926592,18428659059495272448,16777216,0.03468942642211914,1512,1464,48
37,18085009819959296,18428659063807016960,8388608,0.01655411720275879,713,686,27
38,18084871307264000,18428659202328100864,4194304,0.0077135562896728516,316,316,0
39,18085147263107072,18428658926376452096,67108864,0.005513429641723633,241,231,10
40,18085110856548352,18428658962850119680,524288,0.00545954704284668,230,230,0
41,18085248564461568,18428658825142730752,32768,0.028727293014526367,1234,1221,13
42,18085248560267264,18428658825146957824,2097152,0.009051322937011719,379,379,0
43,18085249099235328,18428658824610086912,1024,0.14248085021972656,5725,5724,1
44,18014742646882304,18428729331062440960,131072,0.017164230346679688,655,655,0
45,18014742647799808,18428729331061654528,65536,0.1930222511291504,7998,7998,0
46,18014742643736576,18428729331065783296,8192,0.014769315719604492,640,640,0
47,18014742645841920,18428729331063686144,32,0.061092376708984375,2599,2599,0
48,18014742106865664,18428729331602662432,16384,0.0060176849365234375,265,261,4
49,18014743184818176,18428729330524726304,64,0.011249303817749023,474,473,1
50,18014467228958720,18428729606480585824,4096,0.002032756805419922,88,86,2
51,18014467498446848,18428729606211101792,16,0.003880739212036133,173,164,9
52,18014398509481984,18428729675200066672,512,0.0008111000061035156,35,34,1
53,18049651735527936,18428694421974021232,2048,0.0008080005645751953,37,33,4
54,18049651735265792,18428694421974285424,8,0.0004837512969970703,24,19,5
55,18049651735792136,18428694421973759088,256,0.00041556358337402344,21,17,4
56,18049651735791624,18428694421973759856,128,0.0004057884216308594,17,16,1
57,18049651735791864,18428694421973759744,4,0.00012946128845214844,5,5,0
58,18049651735789816,18428694421973761796,2,0.00010347366333007812,4,4,0
59,18049651735790846,18428694421973760768,1,3.314018249511719e-05,1,1,0
60,18049651736053503,18428694421973498112,,,,,
