世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,17592186044416,0.007223606109619141,316,316,0
1,17695533694976,134217728,35184372088832,0.010134220123291016,427,427,0
2,17626814218240,35253225783296,67108864,0.015679597854614258,683,683,0
3,17627015544832,35253091565568,8796093022208,0.024392366409301758,1068,1068,0
4,34829500416,61641370632192,137438953472,0.039190053939819336,1727,1727,0
5,240987930624,61572651155456,1073741824,0.07594013214111328,3364,3364,0
6,103548977152,61711163850752,9007199254740992,0.08274531364440918,3657,3657,0
7,9024894989762560,44118977806336,2305843009213693952,0.09393525123596191,4188,4188,0
8,17695735021568,2314894327446241280,8388608,0.0895843505859375,3917,3917,0
9,17834256105472,2314894188933545984,131072,0.04967904090881348,2125,2125,0
10,207643213824,2314911815546568704,2251799813685248,0.0852506160736084,3555,3555,0
11,2278430095704064,2314885392907763712,4398046511104,0.05036473274230957,2185,2185,0
12,2252041816637440,2314916179233341440,256,0.1323072910308838,5781,5781,0
13,2252041883877632,2314916179166101504,576460752303423488,0.12418365478515625,5449,5449,0
14,242070192384,2893628731283210240,4503599627370496,0.07767009735107422,3195,3195,0
15,4521433883607296,2893611139097165824,2097152,0.10734152793884277,4683,4683,0
16,4521399255433472,2893611173727436800,4096,0.2731788158416748,11611,11611,0
17,4521399257534720,2893611173725339648,1152921504606846976,0.21708416938781738,9410,9410,0
18,138724643072,4051053938865078272,524288,0.10949540138244629,4523,4523,0
19,138993602816,4051053938596642816,1048576,0.07151651382446289,2911,2911,0
20,138725167360,4051053938866126848,17179869184,0.1908702850341797,8238,8238,0
21,258984251648,4051053835786911744,16,0.254957914352417,10816,10816,0
22,258984247552,4051053835786915856,1125899906842624,0.32820725440979004,13966,13966,0
23,1139353030623488,4051040641647382544,549755813888,0.41215968132019043,17150,17150,0
24,1139351954784512,4051041192479035408,4194304,0.26485252380371094,10998,10998,0
25,1139351962124544,4051041192475889680,16384,0.30863523483276367,12724,12724,0
26,1139351955833088,4051041192482197520,128,0.18366479873657227,7482,7482,0
27,1139352226382208,4051041192211648528,2199023255552,0.23136520385742188,8846,8846,0
28,258180006272,4052182485281280016,32,0.21017885208129883,8763,8763,0
29,258180010400,4052182485281275920,262144,0.15858030319213867,6545,6545,0
30,172075667872,4052182571385880592,288230376151711744,0.13946771621704102,5993,5993,0
31,290499940227109280,4049913179386150928,144115188075855872,0.16754746437072754,7242,7242,0
32,2269564075397536,4482258743613718544,1099511627776,0.22007346153259277,9487,9487,0
33,2286056749814176,4482243350450929680,4294967296,0.3266944885253906,14320,14320,0
34,2283857726558624,4482245553769152528,274877906944,0.3187086582183838,13995,13995,0
35,2284133682401696,4482245552691216400,281474976710656,0.2348923683166504,10186,10186,0
36,2283034170773920,4482528127179554832,4611686018427387904,0.2018730640411377,9020,9020,0
37,4622976251852902816,4473520927924813840,9223372036854775808,0.2297658920288086,8932,8932,0
38,11290233425514912,18308578983206977552,8,0.18094825744628906,6941,6941,0
39,11290233425514936,18308578983206977536,65536,0.07819557189941406,3425,3425,0
40,11290233425383864,18308578983207174144,1024,0.11139774322509766,4903,4903,0
41,11290250673149368,18308578965959409664,1,0.12410092353820801,5320,5320,0
42,11290250673149112,18308578965959409921,16777216,0.0920710563659668,4029,4029,0
43,11290250690057400,18308578965959278849,4,0.09855985641479492,4293,4293,0
44,11285835396305080,18308583381253031173,72057594037927936,0.06943249702453613,2968,2968,0
45,83626008217538744,18308300802469725445,70368744177664,0.05866670608520508,2554,2554,0
46,74618671254884536,18317378508176557317,2048,0.03453993797302246,1500,1500,0
47,74618671389628600,18317378508041815301,64,0.03409552574157715,1155,1155,0
48,74618395433769088,18317378783997674877,2,0.021634578704833984,930,930,0
49,74618395433770238,18317378783997673729,536870912,0.012191057205200195,520,520,0
50,74618464959601918,18317378715008712961,8192,0.005280971527099609,226,226,0
51,74618464824335614,18317378715143987457,32768,0.02027440071105957,866,866,0
52,74618464828587262,18317378715139768577,2147483648,0.010863780975341797,463,463,0
53,74618468049812734,18317378714066026753,562949953421312,0.006093502044677734,257,257,0
54,76311715956587774,18316248416112673025,8589934592,0.0011038780212402344,46,46,0
55,74055518096391422,18318504622562803969,18014398509481984,0.0023696422576904297,97,97,0
56,107938343295843582,18302636195872833793,140737488355328,0.0005698204040527344,26,24,2
57,89791727976250622,18320923548680782081,36028797018963968,8.7738037109375e-05,6,3,3
58,144046716931996926,18302697356743999745,33554432,5.841255187988281e-05,3,2,1
59,144057738053221630,18302686335656329473,512,3.1948089599609375e-05,1,1,0
60,143492511598968062,18303251562110583553,,,,,
