世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,17592186044416,0.007349491119384766,316,316,0
1,17695533694976,134217728,536870912,0.009763717651367188,427,427,0
2,17695265259520,939524096,4194304,0.019829511642456055,846,846,0
3,17695806324736,402653184,35184372088832,0.028792858123779297,1243,1243,0
4,17627086848000,35253494218752,1048576,0.05060720443725586,2194,2194,0
5,17696075808768,35184506306560,8796093022208,0.03029012680053711,1285,1285,0
6,69530025984,61607145111552,1125899906842624,0.08015036582946777,3462,3462,0
7,1134765529890816,52811052089344,4398046511104,0.0883488655090332,3814,3814,0
8,1125969436868608,66005191622656,17179869184,0.09750247001647949,4002,4002,0
9,1130419157204992,61572651155456,144115188075855872,0.13242697715759277,4988,4988,0
10,4519250362368,145302660633853952,70368744177664,0.07418346405029297,2638,2638,0
11,136460645695488,145241087982698496,32768,0.017940282821655273,735,735,0
12,127595292131328,145249953336295424,2251799813685248,0.12712621688842773,4297,4297,0
13,2388191198838784,145241157243273216,67108864,0.1522998809814453,4962,4962,0
14,2383775569805312,145245572939415552,2199023255552,0.29999351501464844,12501,12501,0
15,2390389953658880,145241157578817536,9007199254740992,0.28871750831604004,12584,12584,0
16,2372763407876096,154265983379341312,2305843009213693952,0.5987222194671631,25582,25582,0
17,2317222971876311040,145258784124600320,1099511627776,0.5777318477630615,24033,24033,0
18,2317207578713522176,145275276799016960,4503599627370496,0.5567741394042969,21629,21629,0
19,2321737635607871488,145248819532038144,140737488355328,0.3542940616607666,15257,15257,0
20,2321605694212538368,145521498415726592,131072,0.606074333190918,24520,24520,0
21,2321623320825561088,145503871802834944,2097152,0.2894327640533447,11924,11924,0
22,2321623286197387264,145503906433105920,1073741824,0.49166393280029297,20311,20311,0
23,2321623288076435456,145503905627799552,549755813888,0.6578102111816406,26777,26777,0
24,2321623287002693632,145504456457355264,274877906944,0.4529073238372803,19599,19599,0
25,2321658746252689408,145469272085266432,256,0.4005579948425293,17154,17154,0
26,2321658746185449472,145469272152506624,262144,0.39562225341796875,16990,16990,0
27,2321658746252820480,145469272085397760,137438953472,0.3866410255432129,16801,16801,0
28,2321658402118565888,145469753658605824,8192,0.48755407333374023,20416,20416,0
29,2321658540096495616,145469615680684288,64,0.5599527359008789,24478,24478,0
30,2321658522781351936,145469632995828032,8589934592,0.47907567024230957,20770,20770,0
31,2321663049676881920,145465114690232640,4294967296,0.49703407287597656,21855,21855,0
32,2321662783388909568,145465385273172288,524288,0.558142900466919,23541,23541,0
33,2321671613977460736,145456554685145408,33554432,0.3431994915008545,15035,15035,0
34,2321671612970827776,145456555725332800,65536,0.2888374328613281,12497,12497,0
35,2321671630184448000,145456538511778112,16777216,0.38134193420410156,16624,16624,0
36,2321671630150828032,145456538562175296,8388608,0.18297362327575684,7953,7953,0
37,2321671768676106240,145456400045285696,2147483648,0.3016681671142578,13022,13022,0
38,2321671767589781504,145456403279094080,32,0.10698795318603516,4574,4574,0
39,2321671767589789728,145456403279085888,16,0.18834519386291504,7926,7926,0
40,2321671767589781504,145456403279094128,288230376151711744,0.07210278511047363,2941,2941,0
41,2611028043648335872,144330503372251504,576460752303423488,0.10074687004089355,4098,4098,0
42,2314872353323876352,1016946946000134512,18014398509481984,0.06435394287109375,2378,2378,0
43,2332922005059141632,1016911692774351216,2048,0.08032655715942383,3507,3507,0
44,2332922004923088896,1016911692910406000,512,0.11096596717834473,4887,4887,0
45,2332922005057569280,1016911692775926128,4096,0.12211871147155762,5405,5405,0
46,2332922005055472128,1016911692778027376,16384,0.054799795150756836,2380,2380,0
47,2332992684385780224,1016841013447735664,36028797018963968,0.04747271537780762,2050,2050,0
48,2305900580169990656,1079961914682489200,9223372036854775808,0.04910755157470703,2124,2124,0
49,11547287015534248448,1061947516173007216,128,0.040181875228881836,1738,1738,0
50,11547287015532134912,1061947516175120880,4,0.021481990814208984,919,919,0
51,11547287016070056452,1061947515637199344,4611686018427387904,0.012201547622680664,521,521,0
52,11529272617560574468,5691647932574069232,1152921504606846976,0.009966850280761719,420,420,0
53,12688949521608477188,5684892533133013488,8,0.007784366607666016,330,330,0
54,12688949521608475140,5684892533133015544,72057594037927936,0.003370046615600586,141,141,0
55,13769813432177394180,4676086216602024440,1,0.002133607864379883,83,83,0
56,13769778178951348228,4676121469828070393,562949953421312,0.0002956390380859375,15,12,3
57,13771469236458356740,4674993362274483193,281474976710656,0.00013065338134765625,7,5,2
58,13763022770953912324,4683721302755638265,1024,0.0001430511474609375,4,4,0
59,13763022788201153540,4683721285508398073,2,3.6716461181640625e-05,1,1,0
60,13763022788201152512,4683721285508399103,,,,,
