世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,17592186044416,0.007158994674682617,316,316,0
1,17695533694976,134217728,35184372088832,0.009545087814331055,427,427,0
2,17626814218240,35253225783296,70368744177664,0.015341997146606445,683,683,0
3,123179930484736,68853694464,536870912,0.03276228904724121,1175,1175,0
4,123179662049280,69659000832,262144,0.033872365951538086,1383,1383,0
5,123248516005888,805306368,8796093022208,0.030181169509887695,1265,1265,0
6,123179796529152,8865617805312,4398046511104,0.06453728675842285,2722,2722,0
7,136373936062464,69524783104,4503599627370496,0.07381415367126465,3199,3199,0
8,118781750018048,4521261338198016,2305843009213693952,0.11451387405395508,5105,5105,0
9,2310465390591082496,17661710827520,140737488355328,0.11749792098999023,5214,5208,6
10,2310359837474816000,263952315449344,1048576,0.10582375526428223,4642,4642,0
11,2310377498649821184,246291141492736,576460752303423488,0.07619595527648926,3331,3331,0
12,2305873899022450688,581210643072286720,1073741824,0.04084205627441406,1741,1741,0
13,2305873900633063424,581210642535415808,2199023255552,0.0443568229675293,1811,1811,0
14,2305843114307485696,581243627884249088,17179869184,0.09733057022094727,4114,4114,0
15,2310355527207747584,576731232163856384,4096,0.12075424194335938,5353,5353,0
16,2310355458218786816,576731301152821248,1099511627776,0.2666640281677246,11113,11113,0
17,2310363154800181248,576724704083054592,2147483648,0.21841931343078613,9665,9665,0
18,2310363153189568512,576724707841150976,16,0.11932611465454102,5212,5212,0
19,2310380814364577808,576707046666141696,2048,0.03419923782348633,1497,1497,0
20,2310380814363529232,576707046667192320,18014398509481984,0.05071830749511719,2161,2161,0
21,2328430397245100048,576671862295103488,1152921504606846976,0.11002206802368164,4249,4249,0
22,2323909136443772944,1734114627703277568,4194304,0.25064945220947266,9130,9130,0
23,2323909205704314896,1734114558446929920,4611686018427387904,0.182464599609375,7419,7419,0
24,51797981138960,8669657984597493760,9223372036854775808,0.11345148086547852,4767,4767,0
25,9241438233345396752,8651643586088011776,562949953421312,0.14716386795043945,5841,5841,0
26,9241433800939147280,8652210968447682560,288230376151711744,0.14975571632385254,6204,6204,0
27,18177138411595632656,4736733942908928,72057594037927936,0.19380521774291992,8183,8183,0
28,18176575461642211344,77357277934258176,4,0.1300830841064453,4022,4022,0
29,18176575461643261972,77357277933207552,8589934592,0.07129025459289551,2921,2921,0
30,18176573245440137236,77359502726266880,4294967296,0.06681227684020996,2815,2815,0
31,18176573309864646676,77359442596724736,33554432,0.08103442192077637,3367,3367,0
32,18176564488001820692,77368264493105152,65536,0.11796712875366211,4176,4176,0
33,18181076900935702548,72855851559288832,8192,0.0526576042175293,1965,1965,0
34,18181076883616372756,72855868878626816,144115188075855872,0.13802528381347656,5354,5354,0
35,18325757229258840084,72290711312015360,281474976710656,0.13257765769958496,5424,5424,0
36,18325755030235584532,72574385311981568,32768,0.1426255702972412,5527,5527,0
37,18325755030239811604,72574385307787264,16777216,0.12055802345275879,4810,4810,0
38,18325753917843281940,72575497721094144,274877906944,0.07868528366088867,3334,3334,0
39,18325824562539108372,72505127903174656,256,0.04831528663635254,2046,2046,0
40,18325824562539042836,72505127903240448,67108864,0.03380703926086426,1432,1432,0
41,18325824563008804884,72505127500587264,1125899906842624,0.027668476104736328,1168,1168,0
42,18325261613055383572,74193977360851200,64,0.007464170455932617,316,316,0
43,18325261613056440404,74193977359794432,524288,0.005586385726928711,238,238,0
44,18325261612989331540,74193977427427584,9007199254740992,0.007605075836181641,316,316,0
45,18334286404430116948,74176385241383168,131072,0.007324934005737305,306,306,0
46,18334286404396300372,74176385275330816,1024,0.004035472869873047,169,169,0
47,18335416719597419604,73046070074212608,8,0.00572657585144043,230,230,0
48,18335416719597418580,73046070074213640,512,0.0050923824310302734,215,215,0
49,18335981877197717076,72480912473915656,2251799813685248,0.014609813690185547,605,605,0
50,18334279790113502804,76434799371815176,32,0.009275674819946289,382,382,0
51,18334279790113498692,76434799371819320,137438953472,0.009859561920166016,411,411,0
52,18334262128939542084,76452597984729400,549755813888,0.008598804473876953,350,350,0
53,18334261854061635140,76453422618450232,128,0.0037364959716796875,158,158,0
54,18334261854061635076,76453422618450424,8388608,0.0027856826782226562,116,116,0
55,18334261852987860484,76453423700613624,36028797018963968,0.0018739700317382812,75,75,0
56,18302666286852089348,144077786855348728,2097152,0.0001533031463623047,9,6,3
57,18302666286309967364,144077787399567864,16384,8.225440979003906e-05,4,3,1
58,18320751329519500804,125992744190050808,2,0.00010085105895996094,4,4,0
59,18320751329485813760,125992744223737854,1,3.1948089599609375e-05,1,1,0
60,18320751329485814273,125992744223737342,,,,,
