世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,524288,0.007916927337646484,316,316,0
1,34762915840,68719476736,17179869184,0.00982356071472168,427,427,0
2,403177472,120259084288,4398046511104,0.020189285278320312,840,839,1
3,4432809426944,85899345920,1125899906842624,0.014280080795288086,613,613,0
4,34762915840,1130383852699648,2199023255552,0.03090190887451172,1268,1268,0
5,2250966040576,1130366672830464,1099511627776,0.08237147331237793,3143,3143,0
6,51942785024,1133665207713792,288230376151711744,0.040060997009277344,1662,1662,0
7,289360726047850496,3367254360064,576460752303423488,0.04613518714904785,2004,1995,9
8,288234826141007872,577590019464626176,1152921504606846976,0.030731678009033203,1231,1231,0
9,2017617083051278336,1129267161202688,8796093022208,0.05482745170593262,2324,2324,0
10,2017612685004767232,1142461300736000,35184372088832,0.11565876007080078,4571,4569,2
11,2017647938096332800,1142392581259264,2048,0.09451556205749512,3814,3814,0
12,2017647903601852416,1142427075741696,1024,0.1565089225769043,6045,6045,0
13,2017647903602377728,1142427075217408,2097152,0.18054819107055664,7369,7369,0
14,2017647903333942272,1142427345750016,8,0.1982429027557373,8053,8053,0
15,2017647903333944328,1142427345747968,2,0.10491275787353516,4420,4420,0
16,2017647903333419016,1142427346273282,2251799813685248,0.1505727767944336,6063,6063,0
17,2019908533734606856,1133596758770690,17592186044416,0.16219520568847656,6867,6867,0
18,2019899668922107912,1160053757314050,4294967296,0.28021979331970215,11103,11103,0
19,2021027772147173384,31954827215874,144115188075855872,0.22126197814941406,9305,9305,0
20,2019901872240330760,145273042809914370,72057594037927936,0.3076653480529785,12503,12503,0
21,2236074654354114568,1157854734058498,16777216,0.21603035926818848,9202,9202,0
22,2236074650059147272,1157859045803010,536870912,0.14106059074401855,5244,5244,0
23,2237209415583795208,23094058025986,137438953472,0.09118485450744629,3712,3712,0
24,2237209414777964552,23232302810114,8192,0.14401006698608398,5834,5834,0
25,2237209552755894280,23094324888578,1073741824,0.08901405334472656,3688,3688,0
26,2237209414780069896,23233374454786,8388608,0.24389433860778809,9708,9708,0
27,2237227145487198216,5502675715074,32,0.14705801010131836,6226,6226,0
28,2237227145485092872,5502677820450,4096,0.11641669273376465,4697,4697,0
29,2237227145487194120,5502675723298,67108864,0.13694500923156738,5765,5765,0
30,2237227128173107208,5520056919074,1048576,0.1900639533996582,7619,7619,0
31,2237227145756678152,5502474396706,9007199254740992,0.2273879051208496,8689,8689,0
32,2237174197399853064,9065650085962786,2305843009213693952,0.43001461029052734,16401,16401,0
33,4552059728216201224,23128483308578,4611686018427387904,0.2513716220855713,10343,10343,0
34,4543052528961460232,4620716346165437474,9223372036854775808,0.2865123748779297,10522,10522,0
35,18378110584243623944,9030327738049570,70368744177664,0.23325109481811523,9529,9529,0
36,18378075262164146184,9136018561704994,8589934592,0.31139159202575684,12603,12603,0
37,18378079668868225032,9131620447560738,262144,0.267972469329834,9775,9775,0
38,18378079600014530568,9131689301517346,140737488355328,0.3056313991546631,11732,11732,0
39,18378343482805196808,9008543999206434,2147483648,0.22665119171142578,9229,9229,0
40,18378343481194584072,9008547757302818,549755813888,0.2580749988555908,10516,10516,0
41,18378344034171623432,9008544536077346,36028797018963968,0.1821422576904297,7694,7694,0
42,18378273665427445768,45107710299218978,274877906944,0.15457892417907715,6193,6193,0
43,18378274181360392200,45107469244179490,4503599627370496,0.13941645622253418,5625,5625,0
44,18378256520454871048,49628729777071138,18014398509481984,0.0944523811340332,3862,3862,0
45,18409852086590642184,36047562150781986,33554432,0.07156085968017578,2904,2904,0
46,18409852086523533320,36047562251445282,65536,0.05251312255859375,2030,2030,0
47,18409852086557153288,36047562217890850,256,0.048952579498291016,2016,2016,0
48,18409852086557087752,36047562217956642,131072,0.030425071716308594,1187,1187,0
49,18409852086624590856,36047562150584610,16384,0.017612457275390625,740,708,32
50,18409852086622493704,36047562152698146,128,0.013665437698364258,547,547,0
51,18409852086893042824,36047561882149154,562949953421312,0.0002799034118652344,19,11,8
52,18374949189780921480,71513408947691810,64,0.001950979232788086,79,79,0
53,18374949189780929736,71513408947683618,281474976710656,0.000530242919921875,29,21,8
54,18374946973577805000,71797100127519010,16,0.001735687255859375,71,69,2
55,18374946973577805048,71797100127518978,32768,0.0006358623504638672,29,25,4
56,18374805684177763576,71938389527593218,1,0.0002949237823486328,13,12,1
57,18375088262977912313,71655810727444482,4194304,8.463859558105469e-05,5,3,2
58,18375017617745214969,71726455964336130,4,5.7697296142578125e-05,2,2,0
59,18375017617745214975,71726455964336128,512,4.076957702636719e-05,1,1,0
60,18375017609121300991,71726464588250624,,,,,
