世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,524288,0.04186248779296875,1712,1712,0
1,34762915840,68719476736,17179869184,0.07897162437438965,2477,2477,0
2,403177472,120259084288,35184372088832,0.13613224029541016,5457,5456,1
3,35253494743040,51539607552,137438953472,0.19130182266235352,7510,7510,0
4,35184775266304,257698037760,70368744177664,0.42475342750549316,17424,17424,0
5,105690958397440,120259084288,2097152,0.48460888862609863,16729,16729,0
6,105690689961984,120529616896,2199023255552,0.35137009620666504,12986,12986,0
7,107906893086720,103349747712,262144,0.4971933364868164,18469,18469,0
8,107906758868992,103484227584,8796093022208,0.39470577239990234,14011,14011,0
9,116737345847296,68990271488,4398046511104,1.1853077411651611,42364,42364,0
10,116702986108928,4501396520960,536870912,0.7613143920898438,29705,29705,0
11,116772510892032,4432408608768,17592186044416,3.30450177192688,120645,120645,0
12,107976417869824,30820687675392,4503599627370496,2.5478014945983887,96495,96495,0
13,4637964324306944,4432408608768,140737488355328,4.5548624992370605,157894,157894,0
14,4506022928973824,277111292297216,36028797018963968,6.578816890716553,238438,238438,0
15,40605188692115456,206742548119552,9223372036854775808,8.549371242523193,298245,298245,0
16,4576391673151488,9259607576421859328,2251799813685248,4.716083765029907,172686,172686,0
17,6854614125641728,9259581153783054336,1024,2.022075653076172,68462,68462,0
18,6784107673550848,9259651660235146240,1048576,4.824822664260864,161450,161450,0
19,6784107943034880,9259651659966710784,1099511627776,4.471298694610596,149426,149426,0
20,6781908919779328,9259654958501594112,2,6.408807754516602,231585,231585,0
21,6781908920304642,9259654958501068800,288230376151711744,4.997358083724976,162108,162108,0
22,4512516920574978,9550154726652510208,576460752303423488,7.012009382247925,243280,243280,0
23,583225069037683714,9547902926838824960,1152921504606846976,4.043031930923462,131116,131116,0
24,8917293204482,11284040583190151168,2305843009213693952,5.30811071395874,188031,188031,0
25,2310355526134268930,11279536983562780672,8589934592,5.026426792144775,165822,165822,0
26,2310355405875184642,11279537112411799552,144115188075855872,7.160428047180176,247257,247257,0
27,4472083227013022722,9261924479349817344,9007199254740992,4.094406843185425,130830,130830,0
28,4467579627385652226,9275435278231928832,281474976710656,6.6104512214660645,225675,225675,0
29,4467863318565487618,9275433062028804096,72057594037927936,6.819387674331665,220709,220709,0
30,4467581843588776962,9347772131043442688,1125899906842624,8.82888674736023,299227,299227,0
31,4468712141542130690,9347767732996931584,4611686018427387904,4.408874988555908,140039,140039,0
32,1141311190598658,18427024581775851520,274877906944,3.0878593921661377,108831,108831,0
33,1141826586674178,18427024341257682944,549755813888,3.8462462425231934,132783,132783,0
34,1141294010729474,18427025423589441536,67108864,1.7628085613250732,57409,57409,0
35,1141311257969666,18427025406409310208,4294967296,1.8903982639312744,60365,60337,28
36,13212327871490,18428153509634375680,4194304,0.5914132595062256,21555,21555,0
37,13212334162946,18428153509632278528,562949953421312,0.01207280158996582,473,464,9
38,8814287651842,18428720857632210944,18014398509481984,0.07106971740722656,2853,2853,0
39,18058465888699394,18428685604540645376,512,0.5183148384094238,18159,18085,74
40,8814153171970,18446735256276173312,131072,0.09812164306640625,3736,3736,0
41,8814153565698,18446735256275910656,1073741824,0.0003752708435058594,32,14,18
42,8813348259330,18446735258154958848,2147483648,0.041997671127319336,1683,1683,0
43,8817509008898,18446735256141692928,33554432,0.0007879734039306641,51,30,21
44,4236117506,18446744069448138752,16777216,0.030405521392822266,1204,1204,0
45,4286449154,18446744069414584320,8388608,0.007831335067749023,332,307,25
46,1065223682,18446744072644198400,32768,0.04887509346008301,1817,1796,21
47,524158466,18446744073185296384,16384,0.02783489227294922,1080,1054,26
48,253625858,18446744073455845376,8192,0.008305549621582031,343,324,19
49,118359554,18446744073591119872,65536,0.0013415813446044922,63,52,11
50,67110402,18446744073642434560,256,0.003594636917114258,121,116,5
51,67241730,18446744073642303488,8,0.0018601417541503906,40,33,7
52,67109634,18446744073642435592,4096,0.003612041473388672,124,124,0
53,67638018,18446744073641911304,2048,0.00027823448181152344,15,9,6
54,67109634,18446744073642441736,32,0.0003437995910644531,14,13,1
55,67638050,18446744073641913352,16,0.00011467933654785156,6,4,2
56,67633954,18446744073641917464,4,0.00012540817260742188,3,3,0
57,67897150,18446744073641654272,1,8.535385131835938e-05,2,2,0
58,67634238,18446744073641917185,64,5.0067901611328125e-05,1,1,0
59,67634176,18446744073641917311,,,,,
