世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,524288,0.03980660438537598,1712,1712,0
1,34762915840,68719476736,17179869184,0.009828329086303711,427,427,0
2,403177472,120259084288,35184372088832,0.12352657318115234,5457,5456,1
3,35253494743040,51539607552,137438953472,0.024561405181884766,1095,1095,0
4,35184775266304,257698037760,2199023255552,0.4238240718841553,17424,17424,0
5,37400978391040,240518168576,18014398509481984,0.06955552101135254,3035,3035,0
6,2216606302208,18049823399739392,9223372036854775808,0.3403446674346924,14647,14647,0
7,9241423905062125568,171798691840,9007199254740992,0.030176639556884766,1302,1302,0
8,9241388720690036736,9042555425521664,4398046511104,0.33930540084838867,14365,14365,0
9,9241393153096286208,9042521065783296,8589934592,0.044703006744384766,1765,1765,0
10,9241393032837201920,9042649914802176,16777216,1.8733012676239014,80490,80490,0
11,9241393041443913728,9042641324867584,281474976710656,0.1683511734008789,7278,7278,0
12,9241390842420658176,9326315324833792,1099511627776,1.77829909324646,74418,74418,0
13,9241394140955541504,9324116301578240,4294967296,0.16202831268310547,7069,7069,0
14,9241393032853979136,9325228698107904,72057594037927936,1.8759171962738037,79727,79727,0
15,9313733205675212800,9042649914802176,1048576,0.16144132614135742,6882,6882,0
16,9313733205272559616,9042650318503936,274877906944,1.7436680793762207,75176,75176,0
17,9313733746438438912,9042384030531584,70368744177664,0.15978598594665527,6621,6621,0
18,9313733608999485440,9112890213662720,36028797018963968,0.853186845779419,36313,36313,0
19,9349832912470016000,9042383762096128,549755813888,0.13453292846679688,5841,5841,0
20,9349762543725838336,9113302262087680,2305843009213693952,0.5350842475891113,22992,22992,0
21,11664647936566362112,70918635257856,4611686018427387904,0.11131858825683594,4727,4727,0
22,11646633538056880128,4629771335572127744,140737488355328,0.40807461738586426,16980,16980,0
23,11664859042798895104,4611686568318468096,1152921504606846976,0.08426809310913086,3697,3697,0
24,9349938465586282496,8079528650137927680,576460752303423488,0.6257097721099854,27264,27264,0
25,17996849750137634816,9078117889998848,17592186044416,0.10338807106018066,4406,4406,0
26,17996814496777633792,9130963436044288,2147483648,0.780266523361206,33588,33588,0
27,17996815048680931328,9130413680230400,8796093022208,0.09134554862976074,4034,4034,0
28,17996815014321192960,9139244132990976,4503599627370496,0.5797338485717773,24802,24802,0
29,18010369793668415488,88064413138944,2251799813685248,0.08333635330200195,3611,3611,0
30,18010360997575393280,2348660319846400,288230376151711744,0.5675492286682129,23719,23716,3
31,18300860765726834688,79268320116736,262144,0.05623340606689453,2348,2343,5
32,18300860765726310400,79268320903168,67108864,0.4665377140045166,19692,19685,7
33,18300860800153157632,79233961164800,1125899906842624,0.041425466537475586,1819,1819,0
34,18300856384859668480,1209549161496576,562949953421312,0.008895158767700195,393,375,18
35,18302549632766443520,79251208142848,144115188075855872,0.018102407455444336,778,778,0
36,18301423732859600896,145320339190841344,33554432,0.003093719482421875,155,135,20
37,18301432546166046720,145311525917949952,131072,0.01871657371520996,731,731,0
38,18300867388565880832,145876683518246912,65536,0.053716182708740234,2383,2354,29
39,18300867388599500800,145876683484692480,1073741824,0.007704973220825195,335,327,8
40,18300867113721593856,145876959436341248,536870912,0.0016148090362548828,91,68,23
41,18300867459399352320,145876614295453696,4194304,0.015455484390258789,672,672,0
42,18300858318098333696,145885755600666624,8388608,0.005934476852416992,269,261,8
43,18300858319180464128,145885754526924800,2097152,0.00595402717590332,260,260,0
44,18300853886505779200,145890187203706880,256,0.25346803665161133,10863,10863,0
45,18300853886505910528,145890187203575808,512,0.005413532257080078,239,239,0
46,18300853886472225024,145890187237261824,1,0.19485855102539062,8610,8610,0
47,18300853886472487681,145890187236999168,2048,0.014672517776489258,649,649,0
48,18300853886472225537,145890187237263360,16384,0.16598081588745117,6595,6595,0
49,18301421269106639617,145322804602865664,2,0.0271146297454834,1029,1029,0
50,18301421269106639105,145322804602866178,4,0.11373305320739746,4835,4835,0
51,18301421544522468103,145322529187037184,4096,0.014077425003051758,621,611,10
52,18301421544252984071,145322529456525312,16,0.03339219093322754,1418,1418,0
53,18301421613241948951,145322460467560448,8192,0.002118349075317383,91,88,3
54,18301421595926813463,145322477782704128,32,0.0032448768615722656,135,133,2
55,18301421595926821687,145322477782695936,32768,0.00018787384033203125,11,7,4
56,18301421526666279735,145322547043270656,1024,0.00020503997802734375,10,8,2
57,18301421526667198263,145322547042353152,64,0.00017023086547851562,6,6,0
58,18301421526667173687,145322547042377792,128,5.888938903808594e-05,2,2,0
59,18301421526667223031,145322547042328576,8,3.24249267578125e-05,1,1,0
60,18301421526666696695,145322547042854920,,,,,
