世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,67108864,0.2366023063659668,9876,9870,6
1,34829500416,68719476736,1048576,0.06184744834899902,2477,2477,0
2,34561064960,68988960768,35184372088832,0.956575870513916,37472,37468,4
3,35287652630528,269484032,4398046511104,0.1860666275024414,7510,7510,0
4,35253292892160,4432675733504,17592186044416,1.9572036266326904,77553,77528,25
5,52879838674944,4398315995136,4503599627370496,0.2355022430419922,10053,10053,0
6,35218933153792,4525658848886784,2097152,7.131606578826904,270915,270880,35
7,35219203686400,4525658580451328,70368744177664,0.9775538444519043,37465,37465,0
8,34831597568,4631211696717824,1152921504606846976,7.352688789367676,293154,293143,11
9,1157442799971336192,109951163826176,576460752303423488,0.6379055976867676,26704,26704,0
10,1152939200343965696,581074303094620160,140737488355328,4.305438041687012,162439,162424,15
11,1153185490948587520,580968749978353664,2305843009213693952,0.3477046489715576,12860,12860,0
12,263986341740544,4039733263798894592,524288,0.8827996253967285,35360,35360,0
13,263986343313408,4039733263797846016,274877906944,0.31818270683288574,12015,12015,0
14,228801971224576,4039768723047841792,1073741824,2.5894699096679688,83068,83068,0
15,229077922873344,4039768448169934848,2147483648,0.5711534023284912,23038,23038,0
16,228803044966400,4039768725195325440,536870912,1.7480289936065674,68306,68306,0
17,229078459744256,4039768450317418496,262144,0.7230827808380127,28918,28918,0
18,229009606049792,4039768519171375104,8796093022208,10.264860153198242,389444,389444,0
19,237874418548736,4039768450451898368,2251799813685248,2.1260106563568115,79293,79293,0
20,229043965788160,4042029080718344192,288230376151711744,33.77747297286987,1238213,1238213,0
21,290711219931185152,4039777280904658944,144115188075855872,5.837701320648193,216132,216132,0
22,2480843779473408,4472122845132226560,17179869184,42.062750577926636,1446347,1446347,0
23,2480895453298688,4472122810638270464,137438953472,3.131913900375366,109998,109998,0
24,211503453569024,4474392340076953600,2199023255552,39.90721416473389,1351324,1351324,0
25,279673174491136,4474326369379287040,549755813888,0.6035220623016357,22870,22808,62
26,279398296584192,4474327194013007872,8388608,8.892828226089478,317268,317268,0
27,279950208270336,4474326642109710336,36028797018963968,2.713230848312378,97179,97167,12
28,209581464092672,4510425807872851968,9223372036854775808,15.715638637542725,573348,573348,0
29,9259610415337832448,4474397010853888000,1099511627776,3.121145725250244,113916,113916,0
30,9259542245616910336,4474466280086437888,281474976710656,18.988317012786865,677755,677658,97
31,9259825919616876544,4474464081063182336,72057594037927936,2.9487273693084717,105757,105757,0
32,9259544444640165888,4546803150077820928,9007199254740992,13.648213386535645,483812,483783,29
33,9268674926636171264,4546679867336556544,8589934592,1.6169471740722656,57474,57474,0
34,9268674668938133504,4546680133624528896,4294967296,14.777890920639038,541419,541360,59
35,9268675214398980096,4546679592458649600,16777216,1.2981009483337402,44350,44326,24
36,9268675201514078208,4546679605360328704,1125899906842624,5.666141986846924,207102,206855,247
37,9276569695001509888,4539911011779739648,562949953421312,0.02077460289001465,808,763,45
38,9276567495978254336,4540476160756416512,131072,1.5547418594360352,51094,51061,33
39,9276567495978647552,4540476160756154368,18014398509481984,0.007226228713989258,278,271,7
40,9259678997376008192,4575379057868275712,4611686018427387904,0.3347456455230713,12015,12009,6
41,13898386613567619072,4548357460104052736,4194304,0.035547494888305664,1454,1431,23
42,13898377748218249216,4548366325457616896,8192,0.7697908878326416,28803,28803,0
43,13898377748222451712,4548366325453422592,33554432,0.03834080696105957,1498,1480,18
44,13898377730572820480,4548366343136608256,256,0.2610464096069336,10620,10602,18
45,13898377730572689408,4548366343136739584,65536,0.3369433879852295,11284,11284,0
46,13898377730572886016,4548366343136608512,512,0.2876102924346924,11086,11080,6
47,13898377730572492800,4548366343137002240,1024,0.7475228309631348,26541,26519,22
48,13898377747819734016,4548366325889762048,64,0.2697923183441162,11239,11239,0
49,13898377747818677248,4548366325890818880,2048,0.993971586227417,34393,34185,208
50,13898377748356598784,4548366325352899392,4,0.1300506591796875,5374,5374,0
51,13898373333062846464,4548370740646651716,32,0.15172195434570312,5919,5824,95
52,13898373333062854688,4548370740646643524,8,0.038594722747802734,1295,1295,0
53,13898373333062328352,4548370740647169868,128,0.0007658004760742188,41,28,13
54,13898373333062328544,4548370740647169804,4096,0.0057146549224853516,224,224,0
55,13898373333061279968,4548370740648222476,16,0.00026726722717285156,15,9,6
56,13898373402050244848,4548370671659257612,16384,0.000331878662109375,16,13,3
57,13898373367419961584,4548370706289557260,2,8.821487426757812e-05,4,3,1
58,13898373367688922366,4548370706020596480,32768,7.724761962890625e-05,2,2,0
59,13898373298428380414,4548370775281171200,1,3.314018249511719e-05,1,1,0
60,13898373367282337791,4548370706427213824,,,,,
