世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,67108864,0.25870847702026367,9876,9870,6
1,34829500416,68719476736,1048576,0.06103324890136719,2477,2477,0
2,34561064960,68988960768,35184372088832,0.9519994258880615,37472,37468,4
3,35287652630528,269484032,4398046511104,0.17942452430725098,7510,7510,0
4,35253292892160,4432675733504,17592186044416,2.1093289852142334,77553,77528,25
5,52879838674944,4398315995136,4503599627370496,0.2414569854736328,10053,10053,0
6,35218933153792,4525658848886784,576460752303423488,7.20240330696106,270915,270880,35
7,580999570863947776,22059221516288,1152921504606846976,0.6912274360656738,27736,27736,0
8,576495971236577280,1157447163455733760,2305843009213693952,8.833662748336792,345620,345620,0
9,4035260485057118208,4525658848886784,17179869184,0.7033448219299316,24078,24078,0
10,4035260450563162112,4525710522712064,1125899906842624,6.809163808822632,259780,259757,23
11,4036390765696385024,4521295296331776,2199023255552,1.270005226135254,50188,50188,0
12,4036390748516515840,4523511499456512,1099511627776,17.60066556930542,651580,651577,3
13,4036394047051399168,4521312476200960,288230376151711744,1.35111665725708,50855,50855,0
14,4035263749098045440,293881986581266432,144115188075855872,13.874433040618896,532647,532647,0
15,4467609313325613056,5651610429554688,281474976710656,0.6630468368530273,26276,26276,0
16,4467607114302357504,5935284429520896,72057594037927936,8.201946496963501,298549,298085,464
17,4539946183316996096,5653809452810240,70368744177664,0.4544987678527832,14750,14750,0
18,4539910998944907264,5759362569076736,274877906944,0.9577662944793701,34415,34152,263
19,4544450057822273536,1220578569617408,18014398509481984,0.5495619773864746,16475,16475,0
20,4544414873450184704,19270161451188224,9007199254740992,9.960453033447266,356237,355965,272
21,4553439699250708480,19252534905405440,8796093022208,1.6310551166534424,55478,55478,0
22,4553422072704925696,19278957544210432,137438953472,21.372052431106567,728707,728168,539
23,4553457394515968000,19243773172121600,4611686018427387904,2.0584447383880615,68462,68462,0
24,4544450195261227008,4639936990854250496,36028797018963968,29.824739694595337,1053404,1050801,2603
25,4607570958788591616,4612845024345849856,549755813888,1.4731886386871338,52432,52432,0
26,4607570546471731200,4612845986418524160,9223372036854775808,0.0011448860168457031,122,27,95
27,18442628601753894912,1159967991136256,262144,0.47079992294311523,15065,15065,0
28,18442628601686786048,1159968058507264,4294967296,0.00046944618225097656,44,18,26
29,18443756704911851520,31869128409088,140737488355328,0.08621644973754883,2623,2623,0
30,18443651151795585024,278159733030912,2147483648,0.0005397796630859375,69,12,57
31,18443827900437233664,101413238865920,1073741824,0.09128928184509277,2689,2689,0
32,18443827625559326720,101689190514688,8589934592,0.0018093585968017578,142,71,71
33,18443828166725206016,101156614569984,33554432,0.47644519805908203,16277,16277,0
34,18443828149545336832,101173827993600,2251799813685248,0.0006299018859863281,59,24,35
35,18446110735684599808,70387502415872,562949953421312,0.07307887077331543,2711,2711,0
36,18446104095665160192,639977475276800,536870912,0.009454727172851562,420,391,29
37,18446104097275772928,639976401534976,4194304,0.09030628204345703,3168,3168,0
38,18446103821324124160,640252357378048,8388608,0.2253119945526123,8039,7940,99
39,18446103822406254592,640251283636224,2097152,0.37912464141845703,12411,12352,59
40,18446671205040652288,72868651335680,524288,0.18956422805786133,5423,5416,7
41,18446671067333263360,73006359248896,16777216,2.6900579929351807,93132,92951,181
42,18446671076443291648,72997265997824,131072,0.23789620399475098,8844,8844,0
43,18446671067819802624,73005889617920,256,2.1586899757385254,75968,75835,133
44,18446671067819933952,73005889486848,65536,0.24767112731933594,8756,8756,0
45,18446671067819802880,73005889683456,512,1.265531063079834,45402,45402,0
46,18446673275466941184,70798242545664,1,0.1987011432647705,6189,6189,0
47,18446673275466940928,70798242545921,2048,0.3867380619049072,14704,14660,44
48,18446673275468515840,70798240973057,8192,0.06664633750915527,2563,2563,0
49,18446673274794281472,70798915215617,64,0.31144237518310547,12922,12811,111
50,18446673292109425216,70781600071937,4,0.05743288993835449,1810,1810,0
51,18446673292108374080,70781601123077,2,0.10178017616271973,3436,3273,163
52,18446673292108374594,70781601122565,16384,0.027940034866333008,984,984,0
53,18446673291030438466,70782679075077,4096,0.0043985843658447266,195,160,35
54,18446673292107330114,70781602187525,1024,0.012117624282836914,296,295,1
55,18446673291838369858,70781871148805,128,0.001729726791381836,54,43,11
56,18446673291838386370,70781871132421,32768,0.0004067420959472656,13,10,3
57,18446673291838357698,70781871193861,32,0.00013375282287597656,5,3,2
58,18446673291838910690,70781870640901,16,9.036064147949219e-05,2,2,0
59,18446673291837849826,70781871701781,8,4.839897155761719e-05,1,1,0
60,18446673291837857022,70781871694593,,,,,
