世代,最終的に除外される計算数
1,32k
2,64k
3,128k
4,256k
5,512k
6,1024k
7,2048k
8,4096k
9,8192k
10,1万6384k
11,3万2768k
12,6万5536k
13,13万1072k
14,26万2144k
15,52万4288k
16,104万8576k
17,209万7152k
18,419万4304k
19,838万8608k
20,1677万7216k
21,3355万4432k
22,6710万8864k
23,1億3421万7728k
24,2億6843万5456k
25,5億3687万0912k
26,10億7374万1824k
27,21億4748万3648k
28,42億9496万7296k
29,85億8993万4592k
30,171億7986万9184k
31,343億5973万8368k
32,687億1947万6736k
33,1374億3895万3472k
34,2748億7790万6944k
35,5497億5581万3888k
36,1兆0995億1162万7776k
37,2兆1990億2325万5552k
38,4兆3980億4651万1104k
39,8兆7960億9302万2208k
40,17兆5921億8604万4416k
41,35兆1843億7208万8832k
42,70兆3687億4417万7664k
43,140兆7374億8835万5328k
44,281兆4749億7671万0656k
45,562兆9499億5342万1312k
46,1125兆8999億0684万2624k
47,2251兆7998億1368万5248k
48,4503兆5996億2737万0496k
49,9007兆1992億5474万0992k
50,1京8014兆3985億0948万1984k
51,3京6028兆7970億1896万3968k
52,7京2057兆5940億3792万7936k
53,14京4115兆1880億7585万5872k
54,28京8230兆3761億5171万1744k
55,57京6460兆7523億0342万3488k
56,115京2921兆5046億0684万6976k
57,230京5843兆0092億1369万3952k
58,461京1686兆0184億2738万7904k
59,922京3372兆0368億5477万5808k
60,1844京6744兆0737億0955万1616k
