n,r,結果,10の何乗か
60,0,1,0
60,1,60,1
60,2,1770,3
60,3,34220,4
60,4,487635,5
60,5,5461512,6
60,6,50063860,7
60,7,386206920,8
60,8,2558620845,9
60,9,14783142660,10
60,10,75394027566,10
60,11,342700125300,11
60,12,1399358844975,12
60,13,5166863427600,12
60,14,17345898649800,13
60,15,53194089192720,13
60,16,149608375854525,14
60,17,387221678682300,14
60,18,925029565741050,14
60,19,2044802197953900,15
60,20,4191844505805495,15
60,21,7984465725343800,15
60,22,14154280149473100,16
60,23,23385332420868600,16
60,24,36052387482172425,16
60,25,51915437974328292,16
60,26,69886166503903470,16
60,27,88004802264174740,16
60,28,103719945525634515,17
60,29,114449595062769120,17
60,30,118264581564861424,17
60,31,114449595062769120,17
60,32,103719945525634515,17
60,33,88004802264174740,16
60,34,69886166503903470,16
60,35,51915437974328292,16
60,36,36052387482172425,16
60,37,23385332420868600,16
60,38,14154280149473100,16
60,39,7984465725343800,15
60,40,4191844505805495,15
60,41,2044802197953900,15
60,42,925029565741050,14
60,43,387221678682300,14
60,44,149608375854525,14
60,45,53194089192720,13
60,46,17345898649800,13
60,47,5166863427600,12
60,48,1399358844975,12
60,49,342700125300,11
60,50,75394027566,10
60,51,14783142660,10
60,52,2558620845,9
60,53,386206920,8
60,54,50063860,7
60,55,5461512,6
60,56,487635,5
60,57,34220,4
60,58,1770,3
60,59,60,1
60,60,1,0
