n,r,結果,10の何乗か
64,0,1,0
64,1,64,1
64,2,2016,3
64,3,41664,4
64,4,635376,5
64,5,7624512,6
64,6,74974368,7
64,7,621216192,8
64,8,4426165368,9
64,9,27540584512,10
64,10,151473214816,11
64,11,743595781824,11
64,12,3284214703056,12
64,13,13136858812224,13
64,14,47855699958816,13
64,15,159518999862720,14
64,16,488526937079580,14
64,17,1379370175283520,15
64,18,3601688791018080,15
64,19,8719878125622720,15
64,20,19619725782651120,16
64,21,41107996877935680,16
64,22,80347448443237920,16
64,23,146721427591999680,17
64,24,250649105469666120,17
64,25,401038568751465792,17
64,26,601557853127198688,17
64,27,846636978475316672,17
64,28,1118770292985239888,18
64,29,1388818294740297792,18
64,30,1620288010530347424,18
64,31,1777090076065542336,18
64,32,1832624140942590534,18
64,33,1777090076065542336,18
64,34,1620288010530347424,18
64,35,1388818294740297792,18
64,36,1118770292985239888,18
64,37,846636978475316672,17
64,38,601557853127198688,17
64,39,401038568751465792,17
64,40,250649105469666120,17
64,41,146721427591999680,17
64,42,80347448443237920,16
64,43,41107996877935680,16
64,44,19619725782651120,16
64,45,8719878125622720,15
64,46,3601688791018080,15
64,47,1379370175283520,15
64,48,488526937079580,14
64,49,159518999862720,14
64,50,47855699958816,13
64,51,13136858812224,13
64,52,3284214703056,12
64,53,743595781824,11
64,54,151473214816,11
64,55,27540584512,10
64,56,4426165368,9
64,57,621216192,8
64,58,74974368,7
64,59,7624512,6
64,60,635376,5
64,61,41664,4
64,62,2016,3
64,63,64,1
64,64,1,0
