要素数,実際の情報量,実際の情報量とarrayの差分,実際の情報量とndrrayの差分,配列のメモリ使用量,ndarrayのメモリ使用量
1,64,384,896,448,960
2,128,320,896,448,1024
3,192,640,896,832,1088
4,256,576,896,832,1152
5,320,512,896,832,1216
6,384,448,896,832,1280
7,448,384,896,832,1344
8,512,320,896,832,1408
9,576,768,896,1344,1472
10,640,704,896,1344,1536
11,704,640,896,1344,1600
12,768,576,896,1344,1664
13,832,512,896,1344,1728
14,896,448,896,1344,1792
15,960,384,896,1344,1856
16,1024,320,896,1344,1920
17,1088,768,896,1856,1984
18,1152,704,896,1856,2048
19,1216,640,896,1856,2112
20,1280,576,896,1856,2176
21,1344,512,896,1856,2240
22,1408,448,896,1856,2304
23,1472,384,896,1856,2368
24,1536,320,896,1856,2432
25,1600,768,896,2368,2496
26,1664,704,896,2368,2560
27,1728,640,896,2368,2624
28,1792,576,896,2368,2688
29,1856,512,896,2368,2752
30,1920,448,896,2368,2816
31,1984,384,896,2368,2880
32,2048,320,896,2368,2944
33,2112,768,896,2880,3008
34,2176,704,896,2880,3072
35,2240,640,896,2880,3136
36,2304,576,896,2880,3200
37,2368,512,896,2880,3264
38,2432,448,896,2880,3328
39,2496,384,896,2880,3392
40,2560,320,896,2880,3456
41,2624,1024,896,3648,3520
42,2688,960,896,3648,3584
43,2752,896,896,3648,3648
44,2816,832,896,3648,3712
45,2880,768,896,3648,3776
46,2944,704,896,3648,3840
47,3008,640,896,3648,3904
48,3072,576,896,3648,3968
49,3136,512,896,3648,4032
50,3200,448,896,3648,4096
51,3264,384,896,3648,4160
52,3328,320,896,3648,4224
53,3392,1024,896,4416,4288
54,3456,960,896,4416,4352
55,3520,896,896,4416,4416
56,3584,832,896,4416,4480
57,3648,768,896,4416,4544
58,3712,704,896,4416,4608
59,3776,640,896,4416,4672
60,3840,576,896,4416,4736
61,3904,512,896,4416,4800
62,3968,448,896,4416,4864
63,4032,384,896,4416,4928
64,4096,320,896,4416,4992
65,4160,1024,896,5184,5056
66,4224,960,896,5184,5120
67,4288,896,896,5184,5184
68,4352,832,896,5184,5248
69,4416,768,896,5184,5312
70,4480,704,896,5184,5376
71,4544,640,896,5184,5440
72,4608,576,896,5184,5504
73,4672,512,896,5184,5568
74,4736,448,896,5184,5632
75,4800,384,896,5184,5696
76,4864,320,896,5184,5760
77,4928,1280,896,6208,5824
78,4992,1216,896,6208,5888
79,5056,1152,896,6208,5952
80,5120,1088,896,6208,6016
81,5184,1024,896,6208,6080
82,5248,960,896,6208,6144
83,5312,896,896,6208,6208
84,5376,832,896,6208,6272
85,5440,768,896,6208,6336
86,5504,704,896,6208,6400
87,5568,640,896,6208,6464
88,5632,576,896,6208,6528
89,5696,512,896,6208,6592
90,5760,448,896,6208,6656
91,5824,384,896,6208,6720
92,5888,320,896,6208,6784
93,5952,1280,896,7232,6848
94,6016,1216,896,7232,6912
95,6080,1152,896,7232,6976
96,6144,1088,896,7232,7040
97,6208,1024,896,7232,7104
98,6272,960,896,7232,7168
99,6336,896,896,7232,7232
100,6400,832,896,7232,7296
